Country Name,Country Code,Series Name,Series Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.77815106030278,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25294705373625,6.3527773854442,7.45311566226201,7.5,6.972,6.698,6.587,6.482,6.042
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.936026507808833,4.28071482662371,4.5513148102974,3.70696458310842,6.94782634051859,-20.8052758990735,7.03353010694514,15.843675684642,4.7947613911073,7.24388538990945,5.513,4.787,5.037,5.003,5.061,5.067
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.12075933817334,3.37346574966936,8.12889488100956,6.20007768127284,6.5077747939152,0.513941670628171,5.07646643533542,3.80484980952164,3.14009099763754,5.59045469593266,6.5,6.2,6.3,6.6,7.0,6.8
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.82591056949435,10.82062719659,10.3000053427355,6.35849192736715,5.61691446889876,4.70459096113575,5.5823328114905,3.97240784200721,5.54172668627702,5.35004659051708,6.004,5.112,5.024,5.019,5.019,5.019
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.0580738039996,1.94335965478776,4.8226112492757,7.23489033258579,6.22205315994859,0.591487287873974,5.25596878816744,5.49299823010114,5.9167957146697,5.55126069510321,5.954,4.75,4.928,4.999,5.0,5.0
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.0185649695590939,-1.5549586174878,2.45515592012239,1.15757512207355,-2.46729763532686,-2.98249127649473,4.98671283481617,4.80810517290655,4.68375688761311,4.02185464964835,6.687,8.677,9.332,9.837,10.226,8.515
Sierra Leone,SLE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.36333262093788,6.43743652764257,3.20786087715987,2.8938564123677,5.50270937378153,-1.2533490322766,5.8968527047094,5.3135546141915,5.7100218981806,4.29322336690163,5.5,4.9,4.9,4.5,4.5,4.204
Togo,TGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.4680413807304,4.21490387414525,4.00791259566937,4.79518333086139,4.92283321360694,2.16228657424364,5.12890113701732,6.29443692019429,6.19211576941919,6.53204505563791,5.14,5.111,5.386,5.611,5.576,5.626
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.65269329543001,-1.61686894906509,0.805886619102438,1.92275734200614,2.20842927714892,-6.36889840510109,1.10925253938163,4.31882949523192,3.32684556421316,4.06236408888319,4.013,4.058,4.324,4.133,4.236,4.186
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.19494942728191,7.17275963956332,7.41076242592504,4.84314605889178,6.72137167584978,0.699728593494228,7.06332910205232,6.39988362720531,6.60000045223954,6.01953461940062,7.881,2.173,2.284,3.015,2.901,4.269
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.1340893623123,5.4326782650304,4.66367943913264,3.76145359637003,5.32749571119344,2.89139814952995,5.05055831244401,5.52987253058352,5.82749502627256,4.14631137217332,4.377,4.55,4.679,4.643,4.554,4.582
Senegal,SEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.36704365066983,6.35606857181878,7.4074861863013,6.20924103389086,4.61362809749708,1.3420737726679,6.54400109964304,3.85043193735768,4.2574308328029,6.06055141198976,5.889,5.0,5.3,5.5,5.5,5.5
